Frame,Keypoint,X,Y,Z
1,1,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
1,2,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
1,3,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
1,4,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
1,5,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
1,6,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
1,7,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
1,8,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
1,9,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
2,1,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
2,2,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
2,3,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
2,4,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
2,5,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
2,6,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
2,7,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
2,8,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
2,9,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
3,1,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
3,2,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
3,3,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
3,4,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
3,5,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
3,6,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
3,7,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
3,8,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
3,9,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
4,1,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
4,2,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
4,3,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
4,4,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
4,5,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
4,6,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
4,7,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
4,8,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
4,9,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
5,1,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
5,2,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
5,3,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
5,4,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
5,5,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
5,6,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
5,7,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
5,8,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
5,9,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
6,1,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
6,2,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
6,3,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
6,4,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
6,5,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
6,6,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
6,7,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
6,8,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
6,9,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
7,1,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
7,2,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
7,3,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
7,4,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
7,5,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
7,6,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
7,7,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
7,8,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
7,9,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
8,1,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
8,2,1.8206860299527066,-0.8802299478848202,-1.3180240674791746
